,validated_time_rate_1,validated_time_rate_2,highest_version_mean_validated_1,highest_version_mean_validated_2,time_consulting_help_1,time_consulting_help_2,mean_test_per_subject_1,mean_test_per_subject_2,mean_modification_per_subject_1,mean_modification_per_subject_2,mean_time_active_1,mean_time_active_2,experimentation_quality_1,experimentation_quality_2,validation_quality_1,validation_quality_2,score
191,0.8405555555555555,0.01,3.5,3.0,0.0,0.0,3.25,15.5,105.25,138.0,0.52667,0.512549,0.0,0.75,0.27692307692307694,0.16833333333333333,70.0
225,0.0,0.29944444444444446,0.0,3.0,73.0,2.0,4.0,4.0,41.0,53.2,0.860975,0.834028,0.3020833333333333,0.75,0.0,0.52,60.0
234,0.5144444444444445,0.12166666666666667,2.4,3.0,62.0,0.0,4.125,2.5,35.125,42.0,0.610504,1.958195,0.25,0.75,0.256,0.31666666666666665,130.0
240,0.2961111111111111,0.14944444444444444,4.0,3.0,10.0,13.0,15.5,8.666666666666666,120.0,77.5,1.533905,1.501677,0.28125,1.0,0.15092592592592566,0.1343137254901959,70.0
242,0.46555555555555556,0.0,3.0,0.0,0.0,4.0,1.0,27.0,8.0,289.0,4.162162,0.630589,0.0,0.0,0.5,0.1055555555555556,30.0
535,0.0,0.48444444444444446,0.0,3.5,328.0,0.0,14.0,9.666666666666666,120.0,71.16666666666667,1.238589,0.590243,0.5,0.75,0.1875,0.1348214285714285,70.0
539,0.21333333333333335,0.008888888888888889,3.0,4.0,19.0,0.0,2.5,6.0,28.5,46.0,1.375864,1.039306,0.2857142857142857,0.75,0.5,0.22500000000000003,70.0
540,0.7566666666666667,0.0,3.0,0.0,134.0,0.0,10.5,0.0,91.75,0.0,0.490586,0.0,0.29411764705882354,0.0,0.20799999999999996,0.0,60.0
553,0.35333333333333333,0.0,3.0,0.0,0.0,0.0,3.6666666666666665,6.0,48.666666666666664,178.0,0.958889,0.552688,0.25,0.75,0.29583333333333334,0.21333333333333335,60.0
559,0.0,0.0,0.0,0.0,67.0,0.0,23.0,7.0,168.0,50.0,1.09847,3.651685,0.5,0.75,0.20000000000000004,0.375,0.0
562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.741935,185.0,0.0,0.0,0.0,0.0,0.0
566,0.0,0.03944444444444444,0.0,3.0,22.0,0.0,10.0,10.0,157.0,141.5,1.75808,0.607142,0.25,0.75,0.08571428571428572,0.2052631578947369,30.0
573,0.41333333333333333,0.14055555555555554,3.0,2.5,0.0,0.0,3.625,6.5,45.5,130.75,0.390153,0.350272,0.25,0.75,0.35277777777777763,0.21304347826086958,120.0
610,0.11055555555555556,0.0,2.0,0.0,47.0,0.0,3.0,0.0,15.0,0.0,3.887445,1338.0,0.375,0.0,0.4,0.0,40.0
995,0.6011111111111112,0.22555555555555556,2.75,2.0,3.0,22.0,5.428571428571429,7.666666666666667,42.857142857142854,73.66666666666667,0.760509,0.897571,0.2894736842105263,0.9166666666666666,0.3184210526315789,0.2236842105263158,150.0
996,0.8222222222222222,0.14055555555555554,2.8,2.0,0.0,0.0,5.9,4.666666666666667,49.5,68.33333333333333,0.405826,0.770833,0.25,0.5,0.23749999999999988,0.255,180.0
1000,0.525,0.24722222222222223,2.75,2.0,0.0,13.0,4.0,7.0,47.0,57.333333333333336,0.624693,0.661728,0.25,0.8,0.2727272727272727,0.24687500000000007,170.0
1001,0.5694444444444444,0.035555555555555556,3.2,3.0,5.0,0.0,2.3333333333333335,5.5,59.44444444444444,214.5,0.316012,0.52551,0.25,0.0,0.43571428571428567,0.18181818181818182,190.0
1002,0.5522222222222222,0.18,3.0,3.0,0.0,3.0,8.5,3.2,74.0,52.6,0.573723,0.978201,0.25,0.75,0.2595238095238095,0.2961538461538462,120.0
1005,0.33944444444444444,0.29555555555555557,2.0,3.0,0.0,0.0,3.625,4.5,31.125,44.5,0.73788,0.62206,0.25,0.6590909090909091,0.5199999999999999,0.334375,170.0
1007,0.07833333333333334,0.0,4.0,0.0,0.0,0.0,4.333333333333333,14.0,93.0,150.0,0.633827,0.979314,0.25,0.0,0.4166666666666667,0.18571428571428575,40.0
1010,0.83,0.44722222222222224,3.0,2.0,4.0,0.0,2.7142857142857144,3.0,40.0,64.0,0.755333,0.749031,0.25,0.0,0.30000000000000004,0.27777777777777785,160.0
1011,0.18555555555555556,0.0,3.0,0.0,0.0,0.0,3.5,35.0,29.5,325.0,1.191517,0.478527,0.25,0.75,0.3666666666666667,0.12647058823529414,60.0
1014,0.14444444444444443,0.0,3.0,3.0,3.0,0.0,2.6,14.5,42.8,122.5,0.7644,0.438487,0.25,0.6136363636363636,0.75,0.19444444444444453,70.0
1029,0.14277777777777778,0.0,2.0,0.0,22.0,0.0,5.5,0.0,22.0,0.0,2.689024,0.0,0.375,0.0,0.45,0.0,20.0
1142,0.7816666666666666,0.5944444444444444,3.5714285714285716,3.5,0.0,0.0,1.263157894736842,1.75,28.31578947368421,68.25,0.379084,0.551333,0.0,0.0,0.5312499999999999,0.4714285714285715,300.0
1153,0.9627777777777777,0.0,2.0,2.0,0.0,0.0,4.0,9.5,65.0,78.0,1.587455,1.283773,0.25,0.75,0.35000000000000003,0.23055555555555557,60.0
1182,0.435,0.19777777777777777,3.0,2.3333333333333335,0.0,0.0,1.4285714285714286,1.75,28.428571428571427,40.5,3.977876,3.897959,0.0,0.0,0.45500000000000007,0.38571428571428573,140.0
1578,0.3411111111111111,0.0,2.5,0.0,31.0,0.0,2.25,0.0,96.5,0.0,0.588489,7.196,0.375,0.0,0.55,0.0,50.0
1617,0.2544444444444444,0.44333333333333336,4.0,2.0,305.0,0.0,10.5,13.8,47.0,101.6,0.71672,0.471189,0.3125,0.7236842105263158,0.1480769230769231,0.16399999999999992,60.0
1628,0.25833333333333336,0.20944444444444443,4.0,3.0,0.0,6.0,10.0,12.666666666666666,98.0,66.33333333333333,0.819634,0.923037,0.25,0.47058823529411764,0.20714285714285716,0.2119047619047619,100.0
1645,0.5916666666666667,0.2011111111111111,4.0,3.0,0.0,32.0,2.0,2.5,140.33333333333334,86.66666666666667,0.63243,0.577437,0.0,0.0,0.375,0.22333333333333333,70.0
1646,0.6166666666666667,0.3188888888888889,3.5,3.0,0.0,0.0,1.5,2.5,124.0,86.5,0.889549,0.825696,0.0,0.0,0.5499999999999999,0.335,110.0
1653,0.9344444444444444,0.0,2.6666666666666665,2.0,0.0,0.0,7.2,32.5,79.8,164.0,0.61724,0.5986,0.25,0.75,0.24444444444444446,0.12187499999999983,100.0
1662,0.11722222222222223,0.0,2.0,0.0,10.0,0.0,4.4,0.0,53.4,0.0,3.227027,0.0,0.25,0.0,0.21923076923076928,0.0,40.0
1685,0.0,0.0,0.0,0.0,1091.0,0.0,13.0,0.0,23.0,0.0,2.383488,0.0,0.25,0.0,0.0,0.0,0.0
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869,0.006666666666666667,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,18.989361,0.0,0.0,0.0,0.5,0.0,20.0
1945,0.2916666666666667,0.0,2.0,0.0,38.0,0.0,8.4,5.0,44.4,24.0,2.886138,8.97,0.3125,0.75,0.20909090909090908,0.1541666666666667,60.0
2159,0.27,0.1,4.0,2.0,0.0,0.0,4.2,4.0,85.8,54.5,0.637433,0.494353,0.25,0.0,0.2027777777777778,0.16875,60.0
2160,0.29055555555555557,0.0,3.0,0.0,0.0,0.0,4.2,3.0,90.8,69.0,0.435342,2.261421,0.25,0.0,0.21111111111111114,0.11666666666666665,30.0
2161,0.46944444444444444,0.0011111111111111111,3.0,4.0,0.0,0.0,5.0,3.0,80.0,72.0,0.508266,1.897679,0.0,0.0,0.21750000000000003,0.24166666666666667,70.0
2164,0.2761111111111111,0.095,2.3333333333333335,3.0,0.0,0.0,7.125,9.5,68.625,54.5,0.354232,1.371189,0.25,0.75,0.12340425531914898,0.13076923076923078,80.0
2166,0.7594444444444445,0.0,2.0,0.0,29.0,0.0,6.0,8.0,69.5,88.0,0.626396,0.520142,0.25,0.0,0.2611111111111112,0.11874999999999998,60.0
2167,0.6183333333333333,0.0,2.5,0.0,0.0,0.0,7.5,4.0,93.66666666666667,85.0,0.429631,2.024774,0.25,0.75,0.14189189189189189,0.45,50.0
2168,0.17277777777777778,0.0,4.0,0.0,0.0,0.0,25.5,5.0,178.0,176.0,0.379566,1.608499,0.25,0.0,0.10816326530612239,0.15999999999999998,40.0
2173,0.5261111111111111,0.0,3.5,4.0,0.0,0.0,4.571428571428571,5.0,66.14285714285714,58.0,0.436078,0.548179,0.25,0.0,0.15000000000000002,0.15000000000000005,80.0
2174,0.06111111111111111,0.06222222222222222,2.0,2.0,0.0,0.0,7.0,6.5,116.0,61.5,0.48576,0.770528,0.0,0.0,0.15,0.1615384615384616,40.0
2175,0.5311111111111111,0.0,3.0,0.0,0.0,0.0,4.4,4.5,75.4,28.0,0.655437,1.44017,0.25,0.25,0.2595238095238095,0.15625000000000003,60.0
2177,0.16555555555555557,0.0,3.5,0.0,0.0,0.0,1.2,0.0,22.4,0.0,1.484672,6.473029,0.25,0.0,0.6,0.0,70.0
2178,0.5011111111111111,0.02,2.0,2.0,0.0,0.0,3.25,2.0,65.0,8.0,0.774025,1.895981,0.25,0.75,0.27272727272727276,0.75,40.0
2179,0.0,0.06722222222222222,0.0,2.0,0.0,0.0,7.0,5.5,108.25,60.5,0.461258,0.672849,0.25,0.5,0.15600000000000006,0.3071428571428571,20.0
2183,0.3338888888888889,0.0,3.0,0.0,0.0,0.0,7.2,5.5,74.6,67.0,0.4792,0.618766,0.25,0.75,0.19166666666666674,0.25625,30.0
2186,0.3844444444444444,0.0011111111111111111,2.5,3.0,0.0,0.0,3.6666666666666665,3.0,49.166666666666664,34.5,0.842823,0.869605,0.0,0.0,0.20227272727272733,0.17083333333333336,80.0
2188,0.5427777777777778,0.0,3.0,2.0,0.0,0.0,5.5,3.0,69.0,27.0,1.333593,1.510638,0.25,0.0,0.5333333333333333,0.3666666666666667,50.0
2192,0.6361111111111111,0.3377777777777778,2.3333333333333335,2.3333333333333335,0.0,0.0,2.6666666666666665,2.0,47.666666666666664,22.75,1.201342,0.895098,0.25,0.75,0.47000000000000003,0.45,120.0
2201,0.35388888888888886,0.48777777777777775,3.5,2.0,0.0,0.0,2.75,4.0,49.5,48.0,1.061647,1.041084,0.25,0.75,0.31500000000000006,0.18636363636363634,90.0
2204,0.0,0.10888888888888888,0.0,3.5,0.0,0.0,32.0,7.5,209.0,65.75,0.929942,0.629762,0.0,0.0,0.09687500000000004,0.18333333333333326,70.0
2211,0.2777777777777778,0.0,2.0,0.0,0.0,0.0,7.0,6.5,109.0,84.5,1.406739,0.79298,0.0,0.75,0.2357142857142857,0.17083333333333336,20.0
2212,0.2788888888888889,0.24944444444444444,3.0,2.5,0.0,0.0,4.0,4.166666666666667,59.5,59.0,1.54163,0.571194,0.0,0.75,0.26875,0.17500000000000004,80.0
2213,0.18555555555555556,0.6538888888888889,3.0,3.0,0.0,0.0,2.2,3.2222222222222223,25.8,53.888888888888886,1.264643,0.420369,0.0,0.75,0.30000000000000004,0.3019230769230769,160.0
2215,0.0,0.4911111111111111,0.0,2.0,0.0,0.0,0.0,3.0,0.0,31.666666666666668,6.949612,1.094948,0.0,0.75,0.0,0.4357142857142858,60.0
2234,0.89,0.18944444444444444,4.0,2.5,0.0,10.0,1.75,4.833333333333333,26.0,44.333333333333336,2.243445,0.813206,0.0,0.7222222222222222,0.31428571428571433,0.2725,90.0
2313,0.40166666666666667,0.2677777777777778,2.5,3.0,0.0,0.0,9.0,3.0,135.0,193.5,0.482983,0.603286,0.25,0.75,0.20000000000000004,0.37,60.0
2318,0.9044444444444445,0.0022222222222222222,4.0,2.0,0.0,0.0,1.25,2.0,52.0,150.0,0.659816,0.590585,0.0,0.75,0.585,0.3666666666666667,140.0
2319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.0,0.0,0.0,0.0,0.0,0.0,0.0
2336,0.2811111111111111,0.0,2.0,3.0,14.0,0.0,2.0,5.0,200.0,337.0,0.469313,0.552858,0.0,0.0,0.3125,0.32,30.0
2374,0.0,0.06944444444444445,0.0,2.5,0.0,0.0,0.0,2.5,0.0,16.0,0.0,1.204449,0.0,0.6666666666666666,0.0,0.6,50.0
2521,0.2638888888888889,0.0,2.0,0.0,0.0,0.0,4.666666666666667,0.0,31.333333333333332,0.0,1.452342,0.0,0.25,0.0,0.65,0.0,60.0
2718,0.4761111111111111,0.0,2.5,3.0,13.0,32.0,4.333333333333333,10.0,52.333333333333336,126.0,0.353184,0.537219,0.25,0.75,0.23599999999999993,0.21666666666666667,110.0
2720,0.3061111111111111,0.7972222222222223,2.75,2.25,7.0,0.0,6.375,4.0,54.625,68.0,0.338653,0.413976,0.43103448275862066,0.75,0.26590909090909093,0.41764705882352937,200.0
2722,0.42833333333333334,0.215,2.6,2.5,22.0,2.0,3.1,4.666666666666667,41.3,76.0,0.40836,0.456483,0.25,0.875,0.2888888888888888,0.33999999999999997,160.0
2723,0.5322222222222223,0.0016666666666666668,2.5,3.0,0.0,0.0,3.5,3.0,44.833333333333336,69.5,0.334948,1.765456,0.25,0.0,0.38999999999999985,0.21666666666666667,160.0
2724,0.17666666666666667,0.22611111111111112,4.0,2.5,21.0,0.0,16.0,3.25,58.0,40.0,0.801505,0.527769,0.3958333333333333,0.75,0.19999999999999998,0.43125,90.0
2778,0.016666666666666666,0.0,2.0,0.0,0.0,0.0,1.0,7.0,6.0,76.0,19.626373,0.491752,0.0,0.0,0.5,0.18571428571428572,20.0
2868,0.07222222222222222,0.18166666666666667,3.0,2.0,0.0,0.0,8.0,16.0,150.25,174.5,0.554388,0.532205,0.0,0.0,0.15,0.14531250000000004,50.0
2870,0.0,0.025,0.0,3.5,0.0,0.0,14.0,2.3333333333333335,364.0,11.666666666666666,0.591809,4.667532,0.0,0.5,0.09642857142857143,0.53,70.0
3218,0.8811111111111111,0.45611111111111113,2.2857142857142856,3.0,0.0,8.0,2.5555555555555554,2.8,32.77777777777778,68.2,0.734735,0.743589,0.25,0.75,0.41842105263157886,0.3692307692307693,210.0
3269,0.935,0.44555555555555554,2.0,2.6666666666666665,0.0,0.0,7.5,3.0,66.5,82.75,0.543636,0.629457,0.25,0.75,0.296,0.5642857142857143,180.0
3357,0.5038888888888889,0.0,4.0,0.0,0.0,0.0,10.25,0.0,110.5,0.0,0.443726,0.0,0.0,0.0,0.12804878048780488,0.0,40.0
3987,0.8194444444444444,0.0,2.1666666666666665,0.0,0.0,0.0,6.25,4.0,59.375,6.0,0.426565,6.18213,0.25,0.75,0.24677419354838695,0.03333333333333333,130.0
3994,0.7816666666666666,0.0011111111111111111,2.6666666666666665,3.0,0.0,0.0,7.5,11.0,81.5,109.0,0.636556,0.721857,0.25,0.75,0.23421052631578942,0.140625,110.0
